CLCODE,NAME,STNAME,ACTIVE,ESTYMD,NETINC,ASSET,EQ,REPDTE
21,The United Bank,Ohio,0,10/10/1938,-752,51189,3234,9/30/1986
21,Commercial State Bank,Georgia,0,1/1/1934,561,67402,7214,12/31/1998
13,The First State Bank,Texas,0,12/31/1938,243,80248,9434,3/31/2008
21,Community Bank of Greater Peoria,Illinois,0,2/17/1934,-15512,210600,3136,9/30/1993
3,Webster County National Bank,West Virginia,0,2/20/1934,202,35419,3454,6/30/1989
21,Mercantile Bank of the Bluffs,Iowa,0,01/01/1888,629,82597,6632,6/30/1996
3,The Overland National Bank of Grand Island,Nebraska,0,1/1/1934,26,172660,23259,6/30/2000
21,"Citizens Bank of Keedysville, Washington County, Maryland",Maryland,0,11/22/1907,104,15486,918,12/31/1984
21,State Bank of Eastern Pennsylvania,Pennsylvania,0,01/01/1896,,,,
3,Michigan National Bank - Central,Michigan,0,3/1/1934,1609,374229,19871,12/31/1986
3,First Community National Bank,Iowa,0,1/1/1934,60,25899,2731,9/30/2002
21,FMB-Reed City Bank,Michigan,0,3/1/1934,714,79648,5281,6/30/1997
21,Mercantile Bank of Cape Girardeau,Missouri,0,9/14/1904,691,205275,17561,3/31/1996
21,First Community Bank,Missouri,0,01/01/1869,1991,590395,55186,9/30/2012
21,Bank of Paragould,Arkansas,0,09/19/1895,210,110299,10412,3/31/2005
3,"Bank One, West Virginia, Philippi, National Association",West Virginia,0,3/1/1934,587,65809,6999,6/30/1994
3,First National Bank in Viroqua,Wisconsin,0,3/10/1934,296,81187,9457,3/31/2005
21,Bank of Clearwater,Florida,0,1/1/1906,3013,300393,20860,12/31/1984
21,The Strawn State Bank,Kansas,0,4/1/1910,130,12803,935,12/31/1990
21,Granite Savings Bank and Trust Company,Vermont,0,04/13/1885,648,139913,10293,3/31/2000
33,Chittenden Trust Company,Vermont,0,11/5/1906,41463,3793058,613282,12/31/2008
21,Hardwick Trust Company,Vermont,0,01/01/1892,,,,
3,"Franklin Lamoille Bank, National Association",Vermont,0,11/11/1899,5422,333826,25209,12/31/2001
3,The National Bank of Palisades Park,New Jersey,0,4/5/1934,,,,
3,"Norwest Bank Texas, Canyon, National Association",Texas,0,1/1/1900,576,64381,4307,12/31/1995
21,Assaria State Bank,Kansas,0,1/13/1902,-34,9171,613,12/31/1988
21,UniBank,Pennsylvania,0,4/16/1934,,,,
21,First Bank,Texas,0,1/1/1902,513,38364,3825,12/31/2007
3,The Huntington Lagonda National Bank of Springfield,Ohio,0,01/01/1873,,,,
21,The Bank of North Lewisburg Company,Ohio,0,01/01/1876,,,,
13,Firstar Bank Illinois,Illinois,0,4/21/1934,10110,2671979,265182,3/31/1999
3,Huntington National Bank West Virginia,West Virginia,0,1/1/1906,5242,2175487,153738,3/31/1997
3,"Associated Bank Marshfield, National Association",Wisconsin,0,5/1/1934,677,122787,8983,6/30/1994
3,South Side National Bank in St. Louis,Missouri,0,5/1/1934,54,552264,79717,9/30/2001
21,First Nebraska Bank,Nebraska,0,05/04/1888,57,9589,922,6/30/1989
3,"Amcore Bank National Association, Northwest",Illinois,0,5/5/1934,2848,282653,17468,9/30/1999
21,The Bucklin State Bank,Kansas,0,01/01/1888,100,15729,1274,12/31/1994
21,Central Bank of Uniontown,Alabama,0,01/01/1890,,,,
21,First Nashua State Bank,Iowa,0,01/01/1874,219,47447,9055,3/31/1999
3,The Mountain National Bank of Clifton Forge,Virginia,0,6/5/1934,144,35045,3479,6/30/1989
21,Comerica Bank - Battle Creek,Michigan,0,6/11/1934,1830,145566,10688,12/31/1989
21,Home State Bank,Texas,0,11/1/1931,-10,6220,467,9/30/1989
21,United Missouri Bank of Monett,Missouri,0,5/14/1934,1032,104810,6929,12/31/1994
21,Valley American Bank and Trust Company,Indiana,0,6/5/1920,5339,913510,79818,9/30/1998
21,Royal Bank,Wisconsin,0,3/18/1910,65,14826,1840,6/30/1998
13,Community Bank & Trust Company,Pennsylvania,0,1/1/1934,2624,619394,47394,12/31/2010
3,"Wells Fargo Bank Texas, National Association",Texas,0,8/5/1901,144610,24480262,2564055,9/30/2003
21,First Bank,Texas,0,6/30/1934,-1112,95289,5700,6/30/2010
21,NorthSide Bank,Pennsylvania,0,7/9/1934,3360,504633,38882,12/31/2004
3,"Marquette Bank Hutchinson, National Association",Minnesota,0,7/9/1934,1045,71949,6618,12/31/1994
3,Warrick National Bank,Indiana,0,7/10/1934,639,98389,7942,9/30/1990
21,Assumption Bank and Trust Company,Louisiana,0,1/1/1933,761,108533,10551,6/30/1997
21,County Trust Company,New Jersey,0,1/1/1925,501,8034,4681,12/31/1989
21,1st Source Bank of Marshall County,Indiana,0,01/01/1876,-212,148995,5573,9/30/1985
21,American Trust & Savings Bank,Indiana,0,8/19/1920,-187,118757,9641,3/31/2010
21,The Saratoga State Bank,Indiana,0,3/4/1904,290,21936,2828,9/30/1995
21,Anderson Banking Company,Indiana,0,01/30/1890,4311,374199,30283,12/31/1992
21,Farmers State Bank,Iowa,0,01/01/1800,-731,15870,132,6/30/1987
21,Farmers Bank of Petersburg,Kentucky,0,1/1/1903,,,,
21,Bank of Loretto,Kentucky,0,11/27/1922,,,,
21,The Merchants & Farmers Bank,Louisiana,0,8/24/1908,-71,8186,891,6/30/2011
21,"First Commercial Bank, Franklin, Louisiana",Louisiana,0,8/22/1906,261,164522,14479,6/30/1994
21,Boatmen's Bank of Pulaski County,Missouri,0,06/05/1889,238,55306,10921,3/31/1997
21,Bank of Niobrara,Nebraska,0,5/20/1931,,,,
21,Avery County Bank,North Carolina,0,10/16/1913,1991,71822,17384,9/30/2003
21,The San Juan County Bank,Washington,0,01/01/1893,1720,109916,10552,12/31/1992
3,"Evergreen Bank, National Association",Wisconsin,0,5/10/1915,44,105615,10204,12/31/1998
21,North Side State Bank of Rock Springs,Wyoming,0,8/12/1912,146,121714,19068,3/31/2007
